dataset	dataset_label	method	method_label	seed	run_name	params_total	params_trainable	method_params	param_kind	artifact_variant	artifact_dataset	artifact_seed	map_macro	map_L1	map_L2	map_L3	map_weighted	f1	macro_f1	acc	auc	macro_auc	loss	nll	ece	calibration_mode	precision	recall	kappa_quad	kappa_lin	balanced_acc	binary_f1	binary_auc
cam16	CAMELYON16	baseline	NA	42	classification_cam16_baseline_s42	7723010	7723010	0	ab_params									0.961038961038961		0.9629629629629629	0.9914772727272728		0.24607252189404485	0.2460725360016416	0.045031129830589545	multiclass	0.9705882352941176	0.9545454545454546	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
cam16	CAMELYON16	baseline	NA	43	classification_cam16_baseline_s43	7723010	7723010	0	ab_params									0.9806797853309481		0.9814814814814815	1.0		0.0393945595607403	0.03939455955231882	0.017920934806780593	multiclass	0.9848484848484849	0.9772727272727273	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
cam16	CAMELYON16	baseline	NA	44	classification_cam16_baseline_s44	7723010	7723010	0	ab_params									0.9806797853309481		0.9814814814814815	0.9985795454545454		0.04332194935731995	0.04332195015360497	0.022940090863286543	multiclass	0.9848484848484849	0.9772727272727273	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
cam16	CAMELYON16	baseline	NA	45	classification_cam16_baseline_s45	7723010	7723010	0	ab_params									1.0		1.0	1.0		0.003589878089432777	0.0035898818109972963	0.0035680521711124458	multiclass	1.0	1.0	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
cam16	CAMELYON16	baseline	NA	46	classification_cam16_baseline_s46	7723010	7723010	0	ab_params									0.9428571428571428		0.9444444444444444	0.9971590909090909		0.18140383312830063	0.18140382860297544	0.039688337959387074	multiclass	0.9403927068723703	0.9460227272727273	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
cam16	CAMELYON16	xsa_all_ref	XSA	42	classification_cam16_xsa_all_ref_s42	7723010	7723010	0	ab_params									0.961038961038961		0.9629629629629629	0.9914772727272727		0.17663559970754217	0.17663559905656023	0.04435708706816315	multiclass	0.9705882352941176	0.9545454545454546	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
cam16	CAMELYON16	xsa_all_ref	XSA	43	classification_cam16_xsa_all_ref_s43	7723010	7723010	0	ab_params									0.9806797853309481		0.9814814814814815	1.0		0.0830957947063898	0.08309579404445255	0.015321318833323994	multiclass	0.9848484848484849	0.9772727272727273	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
cam16	CAMELYON16	xsa_all_ref	XSA	44	classification_cam16_xsa_all_ref_s44	7723010	7723010	0	ab_params									0.9616477272727273		0.9629629629629629	0.9985795454545454		0.0513913973608632	0.051391400751038145	0.030489344889743853	multiclass	0.9616477272727273	0.9616477272727273	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
cam16	CAMELYON16	xsa_all_ref	XSA	45	classification_cam16_xsa_all_ref_s45	7723010	7723010	0	ab_params									1.0		1.0	1.0		0.0028976781683956723	0.0028976838190779737	0.0028682586586809	multiclass	1.0	1.0	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
cam16	CAMELYON16	xsa_all_ref	XSA	46	classification_cam16_xsa_all_ref_s46	7723010	7723010	0	ab_params									0.9616477272727273		0.9629629629629629	0.9985795454545454		0.06686013885525798	0.06686014342210167	0.03641291176958094	multiclass	0.9616477272727273	0.9616477272727273	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
