dataset	coefficient_regime	checkpoint_exports	token_fraction_mean	token_fraction_std
BRACS	anti_projection	50	0.000000	0.000000
BRACS	near_identity	50	1.000000	0.000000
BRACS	projection	50	0.000000	0.000000
BRACS	reflection	50	0.000000	0.000000
CAM17	anti_projection	10	0.000000	0.000000
CAM17	near_identity	10	1.000000	0.000000
CAM17	projection	10	0.000000	0.000000
CAM17	reflection	10	0.000000	0.000000
KGH	anti_projection	50	0.000000	0.000000
KGH	near_identity	50	1.000000	0.000000
KGH	projection	50	0.000000	0.000000
KGH	reflection	50	0.000000	0.000000
PANDA	anti_projection	50	0.000000	0.000000
PANDA	near_identity	50	1.000000	0.000000
PANDA	projection	50	0.000000	0.000000
PANDA	reflection	50	0.000000	0.000000
KIRC	anti_projection	50	0.000000	0.000000
KIRC	near_identity	50	0.408767	0.483094
KIRC	projection	50	0.591233	0.483094
KIRC	reflection	50	0.000000	0.000000
KIRP	anti_projection	50	0.000000	0.000000
KIRP	near_identity	50	1.000000	0.000000
KIRP	projection	50	0.000000	0.000000
KIRP	reflection	50	0.000000	0.000000
LUAD	anti_projection	50	0.000000	0.000000
LUAD	near_identity	50	0.604168	0.484863
LUAD	projection	50	0.395832	0.484863
LUAD	reflection	50	0.000000	0.000000
STAD	anti_projection	50	0.000000	0.000000
STAD	near_identity	50	1.000000	0.000000
STAD	projection	50	0.000000	0.000000
STAD	reflection	50	0.000000	0.000000
UCEC	anti_projection	50	0.000000	0.000000
UCEC	near_identity	50	1.000000	0.000000
UCEC	projection	50	0.000000	0.000000
UCEC	reflection	50	0.000000	0.000000
