dataset	parameterization	seed	primary_metric	value
KIRP	selected_fixed_range	42	case_c_index	0.833935
KIRP	selected_fixed_range	43	case_c_index	0.665370
KIRP	selected_fixed_range	44	case_c_index	0.823755
KIRP	selected_fixed_range	45	case_c_index	0.689781
KIRP	selected_fixed_range	46	case_c_index	0.811024
KIRP	direct_bounded_beta	42	case_c_index	0.826715
KIRP	direct_bounded_beta	43	case_c_index	0.723735
KIRP	direct_bounded_beta	44	case_c_index	0.747126
KIRP	direct_bounded_beta	45	case_c_index	0.686131
KIRP	direct_bounded_beta	46	case_c_index	0.807087
LUAD	selected_fixed_range	42	case_c_index	0.596663
LUAD	selected_fixed_range	43	case_c_index	0.591906
LUAD	selected_fixed_range	44	case_c_index	0.539646
LUAD	selected_fixed_range	45	case_c_index	0.654328
LUAD	selected_fixed_range	46	case_c_index	0.533523
LUAD	direct_bounded_beta	42	case_c_index	0.596663
LUAD	direct_bounded_beta	43	case_c_index	0.585160
LUAD	direct_bounded_beta	44	case_c_index	0.595550
LUAD	direct_bounded_beta	45	case_c_index	0.563582
LUAD	direct_bounded_beta	46	case_c_index	0.468750
STAD	selected_fixed_range	42	case_c_index	0.696573
STAD	selected_fixed_range	43	case_c_index	0.609023
STAD	selected_fixed_range	44	case_c_index	0.633682
STAD	selected_fixed_range	45	case_c_index	0.597484
STAD	selected_fixed_range	46	case_c_index	0.548531
STAD	direct_bounded_beta	42	case_c_index	0.654829
STAD	direct_bounded_beta	43	case_c_index	0.626566
STAD	direct_bounded_beta	44	case_c_index	0.526122
STAD	direct_bounded_beta	45	case_c_index	0.524528
STAD	direct_bounded_beta	46	case_c_index	0.533844
KGH	selected_fixed_range	42	f1	0.866849
KGH	selected_fixed_range	43	f1	0.888265
KGH	selected_fixed_range	44	f1	0.811215
KGH	selected_fixed_range	45	f1	0.826841
KGH	selected_fixed_range	46	f1	0.878721
KGH	direct_bounded_beta	42	f1	0.812872
KGH	direct_bounded_beta	43	f1	0.883138
KGH	direct_bounded_beta	44	f1	0.825058
KGH	direct_bounded_beta	45	f1	0.810846
KGH	direct_bounded_beta	46	f1	0.871678
PANDA	selected_fixed_range	42	kappa_quad	0.887343
PANDA	selected_fixed_range	43	kappa_quad	0.880266
PANDA	selected_fixed_range	44	kappa_quad	0.879203
PANDA	selected_fixed_range	45	kappa_quad	0.892790
PANDA	selected_fixed_range	46	kappa_quad	0.881358
PANDA	direct_bounded_beta	42	kappa_quad	0.877935
PANDA	direct_bounded_beta	43	kappa_quad	0.886015
PANDA	direct_bounded_beta	44	kappa_quad	0.885703
PANDA	direct_bounded_beta	45	kappa_quad	0.894311
PANDA	direct_bounded_beta	46	kappa_quad	0.891008
BRACS	selected_fixed_range	42	f1	0.389270
BRACS	selected_fixed_range	43	f1	0.367954
BRACS	selected_fixed_range	44	f1	0.541018
BRACS	selected_fixed_range	45	f1	0.535116
BRACS	selected_fixed_range	46	f1	0.378718
BRACS	direct_bounded_beta	42	f1	0.389270
BRACS	direct_bounded_beta	43	f1	0.369594
BRACS	direct_bounded_beta	44	f1	0.459570
BRACS	direct_bounded_beta	45	f1	0.536498
BRACS	direct_bounded_beta	46	f1	0.364388
