task	target	metric	baseline_mean	gated_srp_mean	mean_delta	ci95_low	ci95_high	wins	losses	ties	paired_t_p_two_sided
classification	CAMELYON16	f1	0.973051	0.980843	0.007792	-0.005457	0.021041	2	0	3	0.177827
classification	CAMELYON16	acc	0.974074	0.981481	0.007407	-0.005187	0.020002	2	0	3	0.177808
classification	CAMELYON16	auc	0.997443	0.998580	0.001136	-0.002019	0.004291	1	0	4	0.373901
classification	CAMELYON17	f1	0.783637	0.778513	-0.005123	-0.068584	0.058338	3	2	0	0.833635
classification	CAMELYON17	acc	0.907657	0.901535	-0.006121	-0.042137	0.029895	1	2	2	0.661602
classification	CAMELYON17	auc	0.946963	0.950363	0.003400	-0.013068	0.019869	2	3	0	0.597140
classification	KGH	f1	0.829743	0.854378	0.024635	-0.058476	0.107746	3	2	0	0.456762
classification	KGH	acc	0.833735	0.856627	0.022892	-0.052169	0.097952	2	2	1	0.444823
classification	KGH	auc	0.966483	0.969543	0.003060	-0.008450	0.014570	3	2	0	0.501392
classification	PANDA	kappa_quad	0.882152	0.884192	0.002040	-0.010892	0.014973	2	3	0	0.683963
classification	PANDA	f1	0.686067	0.693193	0.007126	-0.004765	0.019017	4	1	0	0.171476
classification	PANDA	acc	0.737353	0.746114	0.008761	-0.003086	0.020608	4	1	0	0.109283
classification	PANDA	auc	0.931255	0.929159	-0.002097	-0.026423	0.022229	2	3	0	0.822617
classification	BRACS	f1	0.417929	0.442415	0.024486	-0.031951	0.080924	3	1	1	0.294758
classification	BRACS	acc	0.543870	0.560267	0.016397	-0.016883	0.049677	3	0	2	0.243144
classification	BRACS	auc	0.847230	0.845381	-0.001850	-0.015162	0.011463	3	2	0	0.719316
survival	TCGA-KIRC	test_case_c_index	0.711008	0.725662	0.014654	-0.032483	0.061791	4	1	0	0.436740
survival	TCGA-KIRP	test_case_c_index	0.724677	0.764773	0.040096	-0.029389	0.109580	5	0	0	0.184386
survival	TCGA-LUAD	test_case_c_index	0.551271	0.583213	0.031942	-0.042738	0.106623	4	1	0	0.300717
survival	TCGA-STAD	test_case_c_index	0.591006	0.617059	0.026052	-0.035268	0.087373	3	2	0	0.303526
survival	TCGA-UCEC	test_case_c_index	0.675647	0.697345	0.021698	-0.111217	0.154613	2	3	0	0.673870
