dataset	task	window	primary_metric	mean	std	runs
KIRP	survival	3x3	case_c_index	0.764773	0.080477	5
KIRP	survival	5x5	case_c_index	0.736808	0.118941	5
KIRP	survival	7x7	case_c_index	0.727472	0.133479	5
LUAD	survival	3x3	case_c_index	0.583213	0.049196	5
LUAD	survival	5x5	case_c_index	0.563252	0.039309	5
LUAD	survival	7x7	case_c_index	0.576299	0.030683	5
STAD	survival	3x3	case_c_index	0.617059	0.054182	5
STAD	survival	5x5	case_c_index	0.586075	0.054024	5
STAD	survival	7x7	case_c_index	0.569388	0.041711	5
KGH	classification	3x3	f1	0.854378	0.033607	5
KGH	classification	5x5	f1	0.842935	0.034129	5
KGH	classification	7x7	f1	0.831173	0.045950	5
PANDA	classification	3x3	kappa_quad	0.884192	0.005749	5
PANDA	classification	5x5	kappa_quad	0.872045	0.011520	5
PANDA	classification	7x7	kappa_quad	0.878725	0.003747	5
BRACS	classification	3x3	f1	0.442415	0.087667	5
BRACS	classification	5x5	f1	0.420858	0.068317	5
BRACS	classification	7x7	f1	0.421034	0.066001	5
