dataset	task	window	seed	primary_metric	value
KIRP	survival	3x3	42	case_c_index	0.833935
KIRP	survival	3x3	43	case_c_index	0.665370
KIRP	survival	3x3	44	case_c_index	0.823755
KIRP	survival	3x3	45	case_c_index	0.689781
KIRP	survival	3x3	46	case_c_index	0.811024
KIRP	survival	5x5	42	case_c_index	0.833935
KIRP	survival	5x5	43	case_c_index	0.548638
KIRP	survival	5x5	44	case_c_index	0.804598
KIRP	survival	5x5	45	case_c_index	0.689781
KIRP	survival	5x5	46	case_c_index	0.807087
KIRP	survival	7x7	42	case_c_index	0.833935
KIRP	survival	7x7	43	case_c_index	0.509728
KIRP	survival	7x7	44	case_c_index	0.800766
KIRP	survival	7x7	45	case_c_index	0.689781
KIRP	survival	7x7	46	case_c_index	0.803150
LUAD	survival	3x3	42	case_c_index	0.596663
LUAD	survival	3x3	43	case_c_index	0.591906
LUAD	survival	3x3	44	case_c_index	0.539646
LUAD	survival	3x3	45	case_c_index	0.654328
LUAD	survival	3x3	46	case_c_index	0.533523
LUAD	survival	5x5	42	case_c_index	0.507480
LUAD	survival	5x5	43	case_c_index	0.549747
LUAD	survival	5x5	44	case_c_index	0.568169
LUAD	survival	5x5	45	case_c_index	0.575522
LUAD	survival	5x5	46	case_c_index	0.615341
LUAD	survival	7x7	42	case_c_index	0.614499
LUAD	survival	7x7	43	case_c_index	0.584036
LUAD	survival	7x7	44	case_c_index	0.590416
LUAD	survival	7x7	45	case_c_index	0.557313
LUAD	survival	7x7	46	case_c_index	0.535227
STAD	survival	3x3	42	case_c_index	0.696573
STAD	survival	3x3	43	case_c_index	0.609023
STAD	survival	3x3	44	case_c_index	0.633682
STAD	survival	3x3	45	case_c_index	0.597484
STAD	survival	3x3	46	case_c_index	0.548531
STAD	survival	5x5	42	case_c_index	0.553271
STAD	survival	5x5	43	case_c_index	0.666667
STAD	survival	5x5	44	case_c_index	0.615857
STAD	survival	5x5	45	case_c_index	0.537107
STAD	survival	5x5	46	case_c_index	0.557471
STAD	survival	7x7	42	case_c_index	0.606854
STAD	survival	7x7	43	case_c_index	0.614662
STAD	survival	7x7	44	case_c_index	0.519361
STAD	survival	7x7	45	case_c_index	0.537736
STAD	survival	7x7	46	case_c_index	0.568327
KGH	classification	3x3	42	f1	0.866849
KGH	classification	3x3	43	f1	0.888265
KGH	classification	3x3	44	f1	0.811215
KGH	classification	3x3	45	f1	0.826841
KGH	classification	3x3	46	f1	0.878721
KGH	classification	5x5	42	f1	0.805149
KGH	classification	5x5	43	f1	0.883936
KGH	classification	5x5	44	f1	0.811627
KGH	classification	5x5	45	f1	0.847619
KGH	classification	5x5	46	f1	0.866345
KGH	classification	7x7	42	f1	0.841639
KGH	classification	7x7	43	f1	0.764206
KGH	classification	7x7	44	f1	0.842873
KGH	classification	7x7	45	f1	0.816756
KGH	classification	7x7	46	f1	0.890391
PANDA	classification	3x3	42	kappa_quad	0.887343
PANDA	classification	3x3	43	kappa_quad	0.880266
PANDA	classification	3x3	44	kappa_quad	0.879203
PANDA	classification	3x3	45	kappa_quad	0.892790
PANDA	classification	3x3	46	kappa_quad	0.881358
PANDA	classification	5x5	42	kappa_quad	0.854872
PANDA	classification	5x5	43	kappa_quad	0.872189
PANDA	classification	5x5	44	kappa_quad	0.882489
PANDA	classification	5x5	45	kappa_quad	0.882587
PANDA	classification	5x5	46	kappa_quad	0.868089
PANDA	classification	7x7	42	kappa_quad	0.879203
PANDA	classification	7x7	43	kappa_quad	0.873353
PANDA	classification	7x7	44	kappa_quad	0.879659
PANDA	classification	7x7	45	kappa_quad	0.877673
PANDA	classification	7x7	46	kappa_quad	0.883735
BRACS	classification	3x3	42	f1	0.389270
BRACS	classification	3x3	43	f1	0.367954
BRACS	classification	3x3	44	f1	0.541018
BRACS	classification	3x3	45	f1	0.535116
BRACS	classification	3x3	46	f1	0.378718
BRACS	classification	5x5	42	f1	0.389270
BRACS	classification	5x5	43	f1	0.367954
BRACS	classification	5x5	44	f1	0.458436
BRACS	classification	5x5	45	f1	0.522927
BRACS	classification	5x5	46	f1	0.365701
BRACS	classification	7x7	42	f1	0.389270
BRACS	classification	7x7	43	f1	0.391946
BRACS	classification	7x7	44	f1	0.427544
BRACS	classification	7x7	45	f1	0.532023
BRACS	classification	7x7	46	f1	0.364388
