dataset	method	profile_epochs	peak_reserved_gib	train_wsi_per_second	test_wsi_per_second
PANDA	NA	3	0.4746	11.8063	46.5880
PANDA	XSA	3	0.5156	12.0806	53.3655
PANDA	Diff	3	0.5742	7.6804	33.4925
PANDA	Gated SRP	3	0.4941	9.7896	32.9623
KIRC	NA	3	1.5977	2.0048	""
KIRC	XSA	3	1.6797	1.9575	""
KIRC	Diff	3	1.8457	1.9257	""
KIRC	Gated SRP	3	4.0742	1.9310	""
KIRP	NA	3	2.0410	1.9189	""
KIRP	XSA	3	2.1777	1.8911	""
KIRP	Diff	3	2.3652	1.9423	""
KIRP	Gated SRP	3	5.2480	1.8773	""
LUAD	NA	3	1.7871	2.0704	""
LUAD	XSA	3	1.8848	2.0450	""
LUAD	Diff	3	2.0938	1.9995	""
LUAD	Gated SRP	3	4.8203	2.0096	""
STAD	NA	3	1.5723	2.2756	""
STAD	XSA	3	1.6699	2.3188	""
STAD	Diff	3	1.8398	2.2241	""
STAD	Gated SRP	3	3.8008	2.3137	""
UCEC	NA	3	2.0078	1.2792	""
UCEC	XSA	3	2.1875	1.3013	""
UCEC	Diff	3	2.2578	1.3904	""
UCEC	Gated SRP	3	5.5000	1.4941	""
TCGA-5 mean	NA	3	1.8012	1.9098	""
TCGA-5 mean	XSA	3	1.9199	1.9027	""
TCGA-5 mean	Diff	3	2.0805	1.8964	""
TCGA-5 mean	Gated SRP	3	4.6887	1.9251	""
